"Link,","FullName,","Position,",Organization
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNTcwODI=,Samer Abweini,Sales Manager - Strategic Account,Geidea
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNTcwNzk=,Moustapha Adi Abdoullah,Tedx Speaker and Senior Digital Project Manager,Independent
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNTU5Njg=,Ahmed mohamed,Performance Marketing,JAM
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNTE0NTM=,Abdel Rahman Kanoun,Sales Director,MapleStream Digital
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNDY4NzQ=,James Toffrey,Chief Revenue Officer,DeepLight
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNDIxNTM=,Aqash Riaz,CEO,AWD Tech Solutions
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNDI2NTA=,Ramy Farid,CIO,enza Services Limited
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzk2MjE=,Vicky Kukreja,Founder,Anphonic
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzg2ODA=,Saleh Saleh jomah,Software developers,Tech-vanilla
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzUxNTI=,Shehab A. Mamun,Digital Marketing Manager,Doodle inc.
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzQwOTU=,Hemanath Padala,Procurement executive,NA
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzQ0Nzk=,Yousef Jaber,VP Sales,Paytiko
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzM2NjI=,Mohammed Abushohada,CEO,UNIMARTIX FOR COSMETICS RETAILS - SOLE PROPRIETORSHIP L.L.C.
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzM2MDU=,Gaurav Bhandari,CEO,Ekar
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMTIyMTA=,Mahdhi Muzammil,Web Developer,Robotuae
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMTA4ODQ=,Muhammad Sohail,CSO,Bitaffix
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyOTgzOTk=,Parul Bhargava,CEO,vCommission
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyOTgzNjM=,Nabil Ismail,Executive Director,Gulf capital
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyOTgzMzk=,Mohamed Manzoor,MD - Payment Technology,Netstratum Technologies
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyNjQ1NDE=,Mohamed Hamdy,CEO,Digital Circles
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyNTE3OTg=,Malik Abu Alhuda Dinno,marketing,WOGO
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyNDY1Njc=,Prateek Dayal,Managing Director,Global DWC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMzE1MTE=,Emprade Ebrahim,Director Planning,Acme intralog
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMzAyMDM=,Andrew Mc Cormack,Chief Operating Officer,Al Etihad Payments
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMzAwMjg=,Jan Pilbauer,Chief Executive Officer,Al Etihad Payments
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMzA3NjQ=,Malika Beri,Co-Head MEA Payments & CEEMEA Corporate Sales Head,J.P. Morgan
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMjk2Nzc=,Sher Bahadar,Product Development Officer,كوارم المحدودة
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMjg0ODA=,Paul Josue Mpando,CEO,VegaPay
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMjcxMjM=,Eric de La Goublaye,CTO,Qashio
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMjcwMjY=,Gurwan Le Gac,Chief Sales Officer,PRELUDD / AMADIS
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMDY3NjI=,Mohamed El Batah,Chief Technology Officer,iCARRY
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMDY3MDk=,Dhari Al Mutawa,Founder & CEO,iCARRY
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMDI2NTU=,Alberto Caruso,CEO,Fortis Digital Solutions
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMDExNjE=,Ahmad Ezz,CEO,Teways
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxODE0NjM=,Ramprasath Nammalwar,Business Head,Wooqer
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzcyMzM=,Atul Bansal,CEO,Livlyt
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzcwMDI=,Anthony Rouch-Paulin,Group CTO - Credentials,TOPPAN Gravity
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzc3MjU=,M. Yunus Tonse,CEO & Solutions Architect,Tonsetech
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzc0NDk=,Nabil Tabbara,SVP-Strategic Partnerships,Nymcard
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzE5NjA=,Sagar Praveen Chandiramani,CEO,WorkerAppz Payments
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzE5NTk=,Praveen Manik Chandiramani,Founder & Chairman,WorkerAppz Payments
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNDY0MTk=,Ansar Kanhiroli,Managing Partner,DigitalWorks Consulting Group
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNDUyNzY=,Rifat Khandaker,Director,KENC ENTERPRISEs
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNDA1NTQ=,Tunji Durodola,Founder / CEO,UrbanID Global FZCO
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNzQ4ODA=,Dulith Pathirage,CEO and Co-Founder,Designs Frontier
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDUwMDc=,Imran Nazir,Project Manager,MY Global Finance and IT Consultants FZC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDQ5Mjg=,Abdul Hameed,Co-Founder,Upscape Technologies
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDQ5MDI=,Mari Pandian,Business Head,ImageGrafix Software FZCO
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDQ0MTE=,Sohaib Ahmed,Cheif Executive Officer,Flydeas PR & Communications
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NzkxMTk=,Paul Sweeney,Solutions Architect,Starling Bank (Engine by Starling - Software-as-a-Service arm)
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NzgyODg=,Rinat Ablet,Chief Revenue Officer,Tiqmo
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NzQ1MTc=,Bipin Tavarool,CEO,Ananta Investments Limited
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NzA0NDU=,Khaled Hafez,CEO,IBG Co.
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1Njg0MDA=,Parsa Khalilpour,CTO,CreditPool
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NTQzMjE=,William Joyce,Director of Sales,TOTAL PROCESSING
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NTM3NTY=,sana nasri,Digital marketing specialist,Dataslices
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NTA5NzA=,Alexey Gazin,Commercial Director,VegaPay
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NTA3NTI=,SHIVAM SUSHIL KUMAR,Managing Director,HYDAC MIDDLE EAST FZCO
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1MjQ4ODY=,Rafik Haj Ibrahim,CEO,CreditPool
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1MjQ4NDk=,Adel Al-Rashiedi,CEO,Amar Advanced Technology
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1MjA4Mjk=,Kiarash Vahedi,CEO & Founder,PaybyBit.NET
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0NzU5MDg=,Darren Murphy,Chief Product Officer,(Mappable) Direct Cursus Technology L.L.C
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0NzE3ODY=,Karan Patel,AVP MENA,EMB
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0MDIyMjI=,Max Avtukhov,Chief Executive Officer,Yango Tech
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTIyNjI=,Leo Dovbenko,Founder & Chief Executive Officer,Yalla!Market
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTI0NDM=,Muhammad Zahid Iqbal,Chief Executive Officer,The DigiCat
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTEzNzQ=,Alexandru Badulescu,Founding Partner,Change2Scale Advisors
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTEzNzM=,Mirna Sleiman,Founder & Chief Executive Officer,Fintech Galaxy
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTExNDk=,Syed Waseem Afzal,Chief Executive Officer,Platformance Mena Marketing Management LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTE3MTE=,Adel Hakami,business pioneer,الرياض
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTE2ODM=,Mohamed Jad,R&D Manager,SurePay
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTE1MjA=,Mina Salman,Founder,Bagallery.com
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTE0NzA=,Saleh AlTunaib,Co-Founder & Chief Executive Officer,Raha
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTAzMTE=,Najla Albedwawi,Owner,MIH
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTAxMjg=,Nada A. Razek,Partnerships Director,Mondia Pay
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTA5MTc=,Vivek Bhalla,Co Founder,IntelPeek DMCC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTA3MjE=,Asif Bahauddin,Chief Executive Officer,Nesstek
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTA0NzA=,Mehman Huseynzade,Managing Partner,INTEQRIO B.V.
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODkzNjg=,Chris Purdie,Founder & CEO,Receiptable
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODkyMDQ=,Ahmed Hanafy,CEO,Table Finder
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODkxNjA=,Salman Almarzooq,Founder / CEO,Travilege
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODk1MDc=,Mustafa Al-Khatib,Co-Founder & CEO,GRAMS
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODk0NzI=,Rami Sweis,CEO,Huddex Technologies
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzODk0NjE=,Mohamad Issa,Co-founder & Chief Executive Officer,Cash My Stock
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODk2MzQ=,Majdi Mafarja,CEO,LogesTechs
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODc3ODE=,Olu-Muyiwa Olufuwa,Regional Head of Partnership - META,Channel Engine
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODAzODE=,Muhammad Taj Amin Syed,CTO / Co Founder,Tech Inoviq Solutions FZ LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODAzNDk=,Kedaar Deshpande,Managing Director,AOE Corporation LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODAyMTU=,Brian Jamieson,CIO,Lamaa
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODAyMDY=,Eduardo Soares,Managing Director,Intellias Technologies Middle East
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5ODA0NjE=,Hamad Salmeen,Innovation & UX Manager,BENEFIT
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5Nzc2NzA=,Mohamed Khairy,Managing director,Aleqtenaa LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5NzQ3OTI=,Mohammed Ameen,Owner,Awafi Mill
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5MDAwMDg=,Ejaz Ali,CEO,REAL LEADS DUBAI
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5MDA5MTU=,Majd Abouraed,CEO,obodo
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4OTE0NTc=,Dadi Motiwalla,Managing Director - Mena,nanoVo
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4OTA4OTc=,Mahad Naveed,Co-founder/CTO,Tutum.ai
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4ODQzMjA=,Pranjal Ostwal,Chief of Marketing & Technology,ClasifAI
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4Nzc3MDk=,Razi Salih,CEO,Paytiko
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUzNDE=,Hafiz Elsayed,CO Founder,Cubes Horse
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUyNDM=,Mohammed Al Kuraimi,CEO,Tayseer General Trading DMCC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUxOTM=,Syed Muhammad Rizwan Akhter,Head of Product & Technology,Zip24
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUwNjU=,Ranjeet Namdev,Head Business Development,GCC Exchange UK Ltd
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUwNjI=,Moeed Sheikh,Head of Digital Strategy EMEA,Eocean
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NjMxMzQ=,Muinir Badr,CEO,AEserver
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NjI5NDM=,Abdulkareem Aloumi,CEO,Ygii App Company for IT
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4MzYyMTE=,Ahmed Gharbi,CEO,Timsoft ME
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4MTYxODQ=,Mohammed Akheel,Partnership Head,Digi Plus
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4MDQ0OTU=,Olaf De Ruiter,Founder & General Manager,Tullion
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4MDM5Njg=,Carl Boustany,Founder & Managing Partner,Morph Collective
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk3ODE3MDY=,Rinat Kryukov,CEO,SkyPtoP
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk3NDExNTc=,Emre Ozkececi,Founder,BeeWell
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk3NDA5NTE=,Aashish Pandav,"Founder, CEO",Feddi
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk3MjAzMjc=,Maseeh Ahmed,Founder and CEO,tmam
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2ODcxMTk=,Rakesh Verma,Chief Product and Technolgy Officer,Moneycore Middle East
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2ODcxMTg=,Muhammad Shaikh,Founder & CEO,Stylecode
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTQxMzk=,Marcin Parafianowicz,Founder & CEO,Empeiria
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTQxMzU=,Moatasem Elhammamy,CEO,Tameen Now
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTQxMjQ=,Samad Ali,Project Delivery Manager,Aion Digital
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTI3MTg=,Amaad Soomro,Founder & CEO,Maxive Creative Agency
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTI3MDk=,Kevin Vaz,co-founder,Splidu
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTE2NjA=,Atiqahmed Rathod,CEO,BeeCode Media
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk1OTYxMDA=,Hamza Al-Ghatam,Co-Founder & CEO,FACEKI
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk1OTM4MjU=,Muhammad Husnain,Founder,Sellercentral.me
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk1MzYwNTg=,Gurpreet Singh,Founder & CEO,3rd Eye Consulting LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk1MTgxOTU=,Nabeel Radhi,Co-founder & COO,FACEKI
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk0OTQyMTk=,Achilles Manolopoulos,Director of Customer Experience,noqodi
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk0NTE4ODU=,Sina Bahrami,Director,KYCetc
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk0NTE3ODk=,Ed Stonestreet,Managing Director,FeatureMind
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0OTQwMDU=,Catherine Thin Nwe Nyein,VP,Criex
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0MDE5OTY=,Mohammed Bedhane,MD,KFK group
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTExODI=,Ahmed Zahar,MD,dyne
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2ODYwODE=,Joseph Mounayer,Praxis,no info
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyNzI0MjQ=,Ihab Elkholi,Technical Director,advanced Card Technology Factory
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNzA0MTE=,Kumar Samy,CEO,Opal Intl
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNjc2NTY=,AHMED ALGHOFAILY,Partner,Pioneers
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNTY4Mzg=,Ahmed Gornas,Owner,ASHRI
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNDYzMzg=,Jawad Iqbal,General Manager,Wavetec Gulf FZCO
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzAyNTU=,Paresh Mehta,Director,DIGITAL UNIVERSE
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNzgxMjY=,Jamal Kubeer,General Manager,Automated Services Network Co. (eNet)
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNDU3NDk=,Jan Cerajewski,Parner,All About Cards FZE
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDQzMjI=,JAYAKUMAR K B,Head Technical Support,Fixsquad LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAwNDQ5MzA=,Issam Assi,Managing Partner,Digital Edge
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NDA0NzQ=,Farida Ali,CEO,Zad Misr
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTI1NTQ=,Mohammed Shakir Abdullah,Chief Business Officer,Gieom
