"Link,","FullName,","Position,","Country,","Organization,","Social,",Contacts
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTE4OTU=,Sherif Aziz,co-founder,Egypt,Subsbase,no data,https://https://subsbase.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODczMzc=,Mostafa Alsiqilli,Co-founder / Creative director,Egypt,Raining Cats Studio,"",www.rainingcatsstudio.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTE5OTU=,David Saad,Co-founder,Saudi Arabia,Deben TMS,"",www.deben.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTA5Mzk=,Abed Alzain,CoFounder,United States,SellEnvo,"",sellenvo.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMzEwMjQ=,Abdelrahman Galal,Founder and CEO,Saudi Arabia,Awfar.com,"",https://Awfar.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTU5MjQ=,Assaf Alakeel,Founder,Saudi Arabia,SHIFT,########,www.shiftsport.app
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTc=,Hamza Abusitta,CEO & Co-founder,Saudi Arabia,Reachware,https://www.linkedin.com/in/hamzaabusitta,https://www.reachware.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTM=,Haiyan Alsaiyed,Founder and CEO,Saudi Arabia,Tokenizerly,"",http://tokenizerly.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTM1Njc=,Manuel De Vits,Founder,United Arab Emirates,BizDev10X,"",https://www.bizdev10x.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTE1MDM=,Mohammed Alzahrani,Founder & CEO,Saudi Arabia,CARVIND,"",carvind.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDQwOTQ=,Nada Elbarkouky,Co-Founder,Egypt,InfoTraff,"",https://www.infotraff.org/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDAxNzY=,Abdulrahman Qumsani,Co-founder & CEO,Saudi Arabia,Mthmr,no data,https://www.mthmr.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTgyODk=,Youmna Yasser,Cofounder & Head of Solution Consultancy/Channel Partnership Manager,Egypt,aloo.ai,"",aloo.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTQ1NjA=,Ali Alharbi,Founder,Saudi Arabia,BME Growth,"",https://www.linkedin.com/in/ali-alharbi/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODk4NDQ=,Mohammed Amasha,Co founder & CFO,Saudi Arabia,Mila Celebrations,"",https://mila.day
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODgzMzc=,Ibrahim Raslan,Founder,Egypt,Legalzt,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzAwNzA=,Salman Halawi,Founder & CEO,Saudi Arabia,Metadesignerz - Imperium Consulting,"",https://metagatesummit.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0Njk1MDE=,Madiha Shamim,Founder and COO,Pakistan,HR Ways,"",https://hrways.co/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NDQ5ODM=,Faizy Ahmed,CEO & Co-founder,Saudi Arabia,Astra Nova,"",www.astranova.world
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MjM2Njc=,MDNIZAM UDDIN,Co-founder & CEO,Turkey,Dokan Inc,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MTAyMTY=,Marouane Boudad,Founder and CEO,Portugal,CodEuro group,"",www.codeuro.eu
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDkxNjk=,Leenah Hassan,CEO/Co-Founder,United States,Globanq,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDcxNTY=,Paula Falco,"Founder, CEO",United Kingdom,Falco Ux,"",http://falcoux.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDEwMTk=,Jack Mangnall,Co-Founder,United Kingdom,Shape Technologies,"",shape-technologies.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTkwNTk=,Yasin Hassanien,Cofounder & CEO,Qatar,Voktech,"",https://www.voktech.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTYzMTc=,Amer Alharbi,Director / Co Founder,Saudi Arabia,SAMI & Hejen,https://www.linkedin.com/in/amerovs/,no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzNDk1MDY=,Fawaz AlZaid,Co-Founder & CBO,Saudi Arabia,Shinzō,https://x.com/Shinzoapp########https://instagram.com/Shinzoapp########https://www.linkedin.com/in/Shinzoapp,www.shinzo.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyNTMxOTI=,Hamza Jalal,Founder & CEO,Pakistan,Shop and Retail Online - SARO,https://www.linkedin.com/in/hamza-jalal-46137568,https://shoparonline.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyMDk5OTQ=,Abdulrehman Ahmed,Founder,Ireland,Shobly,https://www.linkedin.com/in/abdulrehman-ahmed/,https://www.shobly.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyMDg0MjU=,Faisal Alkhaldy,Founder,Saudi Arabia,Linkers IO,no data,https://linkers.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxOTE4MzA=,Zoran Tovarloza,Co-founder and CEO,Serbia,Bee IT,https://www.linkedin.com/in/tovarloza,https://beeit.io/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNjkyNTI=,Abdullah Khan,Founder & CEO,India,BotCampusAI Learning Solutions Pvt Ltd,"",https://botcampus.ai/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNDY2ODQ=,Ahmad Al Mughrabi,Founder and CEO,Saudi Arabia,Tech3arabi.com,"",https://tech3arabi.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwOTQ5NDA=,Jinesh Gosar,Founder & CEO,Oman,SimpliFI Consulting FZ LLC,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMjc5NTk=,Mohammed Al-Jefairi,Founder,Qatar,Bawaba,"",www.Bawaba.qa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5ODAwNTk=,Lara Al Arab,Founder,Saudi Arabia,Entredemia,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5NjQ5MDM=,Syed Ahsan,Founder & CEO,Pakistan,Maspearls Inc,"",https://maspearls.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5MjY1NDM=,Nikolaos Ntigrintakis,Founder,Switzerland,FE SWISS FINANCIAL AG,"",https://sifted-summit-2024.discover.visitcloud.com/visitor/2nmqx1stbothj/6KsE96IqwDrp0XwDVkI83W2Ms64
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5MDA5NjQ=,Abdulrahman Hussain,Founder,Saudi Arabia,Emily,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM4OTI5NDc=,Asif Khan,Founder,Saudi Arabia,Grapes,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM3OTAyNTg=,Maneesh Mishra,Founder,Singapore,DataLeap,"",www.dataleap.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM3NjM4Mzg=,Oday Alattal,Co-Founder & CTO,United Arab Emirates,Mawsool International,no data,https://mawsool.tech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM3NDEwNjc=,Kenneth Ofkeli,Founder and COO,Belgium,Sowtek,"",www.sowtek.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM3MjczNzU=,Reem Turky,Tawaasuly Founder,Saudi Arabia,Innovation source establishment for information technology and communications.,"",https://www.tawaasuly.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM3MDg2NDA=,Priya M Nair,Founder,United Arab Emirates,Zwag Ai,https://www.linkedin.com/in/https://www.linkedin.com/in/female-lead########https://instagram.com/https://www.instagram.com/the.female.lead/?hl=en,www.zwag.ae
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2ODY0MDI=,Mohammad Rababah,Co Founder and Product Manager,Saudi Arabia,DESAISIV,"",https://desaisiv.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2Njg1NDc=,Ahmed Al-Bassyouni,CEO/Founder,Egypt,Cloudilic,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2NjYyMjA=,Mohammed Abbas,Founder,Saudi Arabia,CarZoneKsa,https://www.linkedin.com/in/https://www.linkedin.com/company/carzoneksa/,ViaCloud.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2NDYwODk=,Saad Zaitooni,Founder & SEO,Saudi Arabia,Qubit,no data,https://https://rentkara.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2NDE2MDY=,Somaya Elshafei,Founder & CEO,Egypt,TravMed,"",www.trav-med.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MjI2NTg=,Vishal Agarwal,CEO & Co-founder,India,Locobuzz,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTg2NjQ=,Soheb M,CEO & Co-Founder,India,Nesy Solution,"",www.nesysolution.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTcxMjQ=,Saleh Almuzaini,Co-Founder,Saudi Arabia,Startup,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTYxMjE=,Will Abdo,CEO & Founder,Australia,Webtrade Marketing Pty Ltd,https://www.linkedin.com/in/will-abdo-30616318/########https://x.com/WebtradeM,www.webtrademarketing.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTY4OTI=,Hamad Syed,Founder/Creative Director,Saudi Arabia,Digital Hubs,"",www.dhubs.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTY2MzA=,Mohamed Anouar Gadhoum,CEO - Cofounder,United Kingdom,PayDay Takaful,"",www.pdtakaful.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTUxOTU=,Omar Atta,CBO - Founder,Egypt,Cloudilic,"",Cloudilic.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTQ2MTM=,Abdulaziz Bin Hamdan,Founder,Saudi Arabia,Parallel Employment Solutions,no data,https://www.parallel-es.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MDYwNjA=,Wesley Shu,Founder & CEO,Taiwan,Formosa `p`lus,"",https://formosaplus.space/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MDQxODg=,Ashraf Mraybeh,Founder,Saudi Arabia,SuccessFully,"",www.successfully.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1NzYyMTA=,Sohayb Baset,Co founder,Saudi Arabia,HOMEi,no data,https://homei.online
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1NTYyOTA=,Jiss Jose,Founder - Director,India,Concerto Software and Systems,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1NTM0MzA=,Nazir Salem,Co-Founder,United Arab Emirates,MadFox Limited FZ LLE,"",https://mkt.madfoxme.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1NDg4OTA=,Igor Bershadsky,Founder,United Arab Emirates,Phron AI,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1MzM0OTk=,Ralph Saab,Co-Founder,Cyprus,SAAB RDS Inc.,"",www.saabrds.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1MTQwMDI=,Anindya Mukherjee,Co-founder & Director of Operations,India,CapitalNumbers Infotech Limited,"",https://www.capitalnumbers.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM1MTA4NTI=,Junaid Butt,Co-Founder & COO,Pakistan,Tiksom Limited,"",https://www.tiksom.co.uk
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0OTE2NjU=,Ahmed Elhefny,Co-Founder & CEO,Egypt,Amzolute,https://www.linkedin.com/in/amzolute########https://instagram.com/amzolute,www.amzolute.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0ODM4MDE=,Meshal bin Sunytan Almutairi,founder,Saudi Arabia,Carbon Footprint,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NjU2Nzg=,Sabreen Morsey,CEO and Founder,Egypt,Farinas Marketing Services,"",https://www.farinasmarketing.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NjAxMDY=,Naima Driouich,Founder & CEO,United Arab Emirates,Social Convert,https://www.linkedin.com/in/https://www.linkedin.com/in/naimadriouichbelhaj/########https://instagram.com/https://www.instagram.com/naima_ndr/,http://social-convert.com/news_lettre/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NTk5MTE=,Alpesh Patel,Founder,Turkey,BIZI LABS,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NTk2NjY=,Zain Farooq,Founder and CEO,Saudi Arabia,MyTM,"",https://mytm.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NTg4OTg=,Naseem Saadeddine,Co-Founder,Saudi Arabia,Arabia Intelligence,########,https://arabiaintelligence.com/ar
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NTg2MTE=,Mohy Aboualam,Co-Founder & CEO,Egypt,Darwinz AI,"",https://www.linkedin.com/in/maboualam/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0NTg2MTA=,Melodi Askelöf,CEO & Co-founder,Sweden,Satocci,"",https://www.satocci.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5Njk4Njk=,Santosh Shetty,Founder,India,Unitrestech Solutions Pvt Ltd,"",https://unitrestech.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5NTQ4NTM=,Andry Ivannikov,founder,Saudi Arabia,Altline,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MzcyMjQ=,Yaseen Bawazeer,Founder and CEO,Saudi Arabia,TRASUL Consultancy Bureau,https://x.com/trasul_bureau########https://www.facebook.com/trasul_bureau########https://instagram.com/trasul_bureau,https://trasulconsultancy.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MzUwODc=,Dhafer Alqahtani,Founder & CEO,Saudi Arabia,Aflaj,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MTI2MzU=,Hafiz Elsayed,Co-Founder,Saudi Arabia,Blue Horse Company,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MDcxMTE=,Tarek Nounou,Co-Founder & CEO,Saudi Arabia,Houdiny,https://www.linkedin.com/in/https://www.linkedin.com/in/tareknounou,houdiny.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MDQ5MDY=,Karim Elganayni,Founder & CMO,Saudi Arabia,Khepresh,"",https://khepresh.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4NTg0NDA=,Muhammad Shaikh,Founder & CEO,Saudi Arabia,mdshaikh.online,no data,www.mdshaikh.online
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4MzI1NDI=,Amitabh Saxena,Founder and CEO,India,Anexas,"",www.anexas.net
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI3Mzk2Njc=,Murtuza Rampurwala,CoFounder,India,Seaflux Technologies,"",https://seaflux.tech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI3MTM0OTg=,Hosam Talbi,Co-founder & CTO,Saudi Arabia,Shinzo,no data,https://www.shinzo.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI2NzE4MjA=,Waleed Alharbi,Founder & CEO,Saudi Arabia,Sky Innovation,no data,https://sico.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1NjUzNjk=,Ibrahim Alshamrani,Co-Founder & CEO,Saudi Arabia,COGNNA,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1NDA0NjY=,Mostafa Mohammed,Co-Founder,Saudi Arabia,Nesbah,"",https://nesbah.com.sa/account/inde
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUyNTc=,Arvind Kothari,Founder and CEO,India,WovV Technologies,"",https://www.wovvtech.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUyNTY=,Maxim Hamida,Founder,Sweden,Loginar Ai,########,www.startup3lmashi.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUyNDY=,Grigorios Papamanousakis,Founder & CEO,United States,Prometheus Technologies Inc.,"",www.prometheusai.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUwOTY=,Chehadeh Abou Hala,Founder & CEO,Lebanon,The Scaling Ministry,"",https://thescalingministry.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUwODg=,Ghassan Bendali,Co-founder & COO,United Arab Emirates,Cash My Stock,"",https://cashmystock.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzU3Nzk=,Abarna Az,Co-Founder,Singapore,Voxtur Technology Asia Pacific,"",https://voxtur.asia/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzU1MDE=,Syed Musheer Ahmed,Founder & MD,Hong Kong,Finstep Asia,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzQwMjg=,Amin AlShuaibi,Founder & Web developer,Saudi Arabia,Araqah Business IT,"",araqahbusiness.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzQ3NjQ=,Amr Seoud,Founder & CEO,Egypt,FinSol Plus,"",www.finsolplus.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzQ2NzQ=,Vladislav Treves,Founder,United Arab Emirates,Spectrum350,https://www.linkedin.com/in/vladislavus/########https://www.facebook.com/vladislavfontraves/,http://www.spectrum350.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzMzNjQ=,Abdullah Al-Subaie,Co-founder,Saudi Arabia,Vego Group,"",https://vego.sa/en/home/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzMxMjE=,Hossam Aboassi,Founder,Saudi Arabia,TOMAR,https://www.linkedin.com/in/hossam-aboassi,www.tomarsolutions.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM5MzA=,Caroline Ayoub,Cofounder & COO,France,Khibraty,"",no data
